time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
453600	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702564	83.6	9.58331884056875	52.0	8.270429251254134	418	83.6	76	102	9.58331884056875	0	0.0	0	0	0.0	260	52.0	41	65	8.270429251254134	2	0	2
457200	0.0	0.0	6666.6	8888.800000000001	6666.6	8888.800000000001	84.2	9.260669522232181	52.0	8.270429251254134	421	84.2	76	102	9.260669522232181	0	0.0	0	0	0.0	260	52.0	41	65	8.270429251254134	3	0	0
460800	0.0	0.0	2222.2	4444.4	2222.2	4444.4	84.4	9.178235124467014	52.0	8.270429251254134	422	84.4	76	102	9.178235124467014	0	0.0	0	0	0.0	260	52.0	41	65	8.270429251254134	1	0	0
464400	0.0	0.0	2222.2	4444.4	2222.2	4444.4	84.6	9.178235124467014	52.0	8.270429251254134	423	84.6	76	102	9.178235124467014	0	0.0	0	0	0.0	260	52.0	41	65	8.270429251254134	1	0	0
468000	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702564	85.0	9.57078889120432	52.4	8.685620300243386	425	85.0	76	103	9.57078889120432	0	0.0	0	0	0.0	262	52.4	41	66	8.685620300243386	2	0	2
471600	22.2	44.4	6666.6	5443.2561064127785	6688.8	5461.532729921153	85.6	9.393614852653903	52.6	8.8	428	85.6	76	103	9.393614852653903	0	0.0	0	0	0.0	263	52.6	41	66	8.8	3	0	1
475200	22.2	44.4	6666.6	8888.800000000001	6688.8	8927.675876732981	86.2	10.166612021711067	52.8	9.10823802938856	431	86.2	76	105	10.166612021711067	0	0.0	0	0	0.0	264	52.8	41	67	9.10823802938856	3	0	1
478800	22.2	44.4	4444.4	5443.2561064127785	4466.6	5470.5580556283285	86.6	10.423051376636307	53.0	9.09945053286186	433	86.6	76	106	10.423051376636307	0	0.0	0	0	0.0	265	53.0	41	67	9.09945053286186	2	0	1
482400	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702565	87.0	10.601886624558858	53.4	9.264987857520376	435	87.0	77	107	10.601886624558858	0	0.0	0	0	0.0	267	53.4	41	68	9.264987857520376	2	0	2
486000	0.0	0.0	6666.6	5443.2561064127785	6666.6	5443.2561064127785	87.6	10.34601372510205	53.4	9.264987857520376	438	87.6	78	107	10.34601372510205	0	0.0	0	0	0.0	267	53.4	41	68	9.264987857520376	3	0	0
489600	0.0	0.0	8888.8	8314.711044889054	8888.8	8314.711044889054	88.4	10.248902380255165	53.4	9.264987857520376	442	88.4	80	108	10.248902380255165	0	0.0	0	0	0.0	267	53.4	41	68	9.264987857520376	4	0	0
493200	0.0	0.0	4444.4	8888.8	4444.4	8888.8	88.8	9.94786409235671	53.4	9.264987857520376	444	88.8	82	108	9.94786409235671	0	0.0	0	0	0.0	267	53.4	41	68	9.264987857520376	2	0	0
496800	22.2	44.4	4444.4	8888.8	4466.6	8933.2	89.2	9.744742172063866	53.6	9.00222194794152	446	89.2	82	108	9.744742172063866	0	0.0	0	0	0.0	268	53.6	42	68	9.00222194794152	2	0	1
500400	111.0	99.28141820099066	19999.8	8314.711044889054	20110.8	8315.303756327847	91.0	10.0	54.6	9.499473669630333	455	91.0	83	110	10.0	0	0.0	0	0	0.0	273	54.6	42	70	9.499473669630333	9	0	5
504000	0.0	0.0	2222.2	4444.4	2222.2	4444.4	91.2	9.867117106835208	54.6	9.499473669630333	456	91.2	83	110	9.867117106835208	0	0.0	0	0	0.0	273	54.6	42	70	9.499473669630333	1	0	0
507600	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702565	91.6	10.091580649234292	55.0	9.695359714832659	458	91.6	84	111	10.091580649234292	0	0.0	0	0	0.0	275	55.0	42	71	9.695359714832659	2	0	2
511200	88.8	129.44713206556568	11111.0	12171.490672879801	11199.8	12293.165262047038	92.6	10.44222198576529	55.8	9.682974749528164	463	92.6	84	112	10.44222198576529	0	0.0	0	0	0.0	279	55.8	43	71	9.682974749528164	5	0	4
514800	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702564	93.0	10.392304845413264	56.2	9.53729521405309	465	93.0	84	112	10.392304845413264	0	0.0	0	0	0.0	281	56.2	44	71	9.53729521405309	2	0	2
518400	88.8	44.4	11111.0	7027.213416426172	11199.8	7062.367036624478	94.0	10.099504938362077	57.0	9.23038460737146	470	94.0	85	112	10.099504938362077	0	0.0	0	0	0.0	285	57.0	45	71	9.23038460737146	5	0	4
522000	111.0	99.28141820099066	13333.2	8314.711044889053	13444.2	8403.824234240028	95.2	10.49571341072154	58.0	9.939818911831342	476	95.2	85	114	10.49571341072154	0	0.0	0	0	0.0	290	58.0	45	73	9.939818911831342	6	0	5
525600	22.2	44.4	4444.4	5443.2561064127785	4466.6	5470.5580556283285	95.6	10.44222198576529	58.2	10.067770358922575	478	95.6	85	114	10.44222198576529	0	0.0	0	0	0.0	291	58.2	45	73	10.067770358922575	2	0	1
529200	0.0	0.0	2222.2	4444.4	2222.2	4444.4	95.8	10.796295661012623	58.2	10.067770358922575	479	95.8	85	115	10.796295661012623	0	0.0	0	0	0.0	291	58.2	45	73	10.067770358922575	1	0	0
532800	44.4	54.37867228978655	6666.6	5443.2561064127785	6711.0	5479.658456509858	96.4	10.55651457631732	58.6	9.911609354691095	482	96.4	86	115	10.55651457631732	0	0.0	0	0	0.0	293	58.6	45	73	9.911609354691095	3	0	2
