time	gasCraMean(2)	gasCraStd(3)	gasTotalMean(4)	gasTotalStd(5)	craMean(6)	craStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
273540	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
273600	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
273660	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
273720	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
273780	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
273840	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
273900	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
273960	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274020	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274080	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274140	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274200	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274260	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274320	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274380	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274440	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274500	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274560	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
274620	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
