time	gasCreazioneMean(2)	gasCreazioneStd(3)	gasTotalMean(4)	gasTotalStd(5)	creazioneMean(6)	creazioneStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
1944000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1947600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1951200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1954800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1958400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1962000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1965600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1969200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1972800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1976400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1980000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1983600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1987200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1990800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1994400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
1998000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2001600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2005200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2008800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2012400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2016000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2019600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2023200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2026800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2030400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2034000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2037600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2041200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2044800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2048400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2052000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2055600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2059200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2062800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2066400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2070000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2073600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2077200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2080800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2084400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2088000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2091600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2095200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2098800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2102400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2106000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2109600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2113200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2116800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2120400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2124000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2127600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2131200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2134800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2138400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2142000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2145600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2149200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2152800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2156400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2160000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2163600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2167200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2170800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2174400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2178000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2181600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2185200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2188800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2192400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2196000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2199600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2203200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2206800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2210400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2214000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2217600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2221200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2224800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2228400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2232000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2235600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2239200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2242800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2246400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2250000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2253600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2257200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2260800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2264400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2268000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2271600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2275200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2278800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2282400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2286000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2289600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2293200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2296800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2300400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2304000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2307600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2311200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2314800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2318400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2322000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2325600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2329200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2332800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2336400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
2340000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
