time	gasInitializeMean(2)	gasInitializeStd(3)	gasMintMean(4)	gasMintStd(5)	gasTotalMean(6)	gasTotalStd(7)	mintMean(8)	mintStd(9)	initializeMean(10)	initializeStd(11)	totPool(12)	avgPool(13)	minPool(14)	maxPool(15)	stdPool(16)
6420	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6480.0	0.0	0	0.0	0	0	0.0
6480	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6540.0	0.0	0	0.0	0	0	0.0
6540	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6600.0	0.0	0	0.0	0	0	0.0
6600	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6660.0	0.0	0	0.0	0	0	0.0
6660	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6720.0	0.0	0	0.0	0	0	0.0
6720	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6780.0	0.0	0	0.0	0	0	0.0
6780	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6840.0	0.0	0	0.0	0	0	0.0
6840	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6900.0	0.0	0	0.0	0	0	0.0
6900	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6960.0	0.0	0	0.0	0	0	0.0
6960	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7020.0	0.0	0	0.0	0	0	0.0
7020	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7080.0	0.0	0	0.0	0	0	0.0
7080	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7140.0	0.0	0	0.0	0	0	0.0
7140	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7200.0	0.0	0	0.0	0	0	0.0
7200	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7260.0	0.0	0	0.0	0	0	0.0
7260	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7320.0	0.0	0	0.0	0	0	0.0
7320	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7380.0	0.0	0	0.0	0	0	0.0
7380	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7440.0	0.0	0	0.0	0	0	0.0
7440	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7500.0	0.0	0	0.0	0	0	0.0
7500	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7560.0	0.0	0	0.0	0	0	0.0
7560	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7620.0	0.0	0	0.0	0	0	0.0
7620	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7680.0	0.0	0	0.0	0	0	0.0
7680	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7740.0	0.0	0	0.0	0	0	0.0
7740	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7800.0	0.0	0	0.0	0	0	0.0
7800	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7860.0	0.0	0	0.0	0	0	0.0
7860	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7920.0	0.0	0	0.0	0	0	0.0
7920	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	7980.0	0.0	0	0.0	0	0	0.0
7980	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8040.0	0.0	0	0.0	0	0	0.0
8040	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8100.0	0.0	0	0.0	0	0	0.0
8100	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8160.0	0.0	0	0.0	0	0	0.0
8160	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8220.0	0.0	0	0.0	0	0	0.0
8220	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8280.0	0.0	0	0.0	0	0	0.0
8280	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8340.0	0.0	0	0.0	0	0	0.0
8340	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8400.0	0.0	0	0.0	0	0	0.0
8400	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8460.0	0.0	0	0.0	0	0	0.0
8460	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8520.0	0.0	0	0.0	0	0	0.0
8520	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	8580.0	0.0	0	0.0	0	0	0.0
